Flight freeze,Position freeze,Roll Euler angle,Pitch Euler angle,Angle of attack,Heading,Altitude,Vertical dev'n from glidepath,Horizontal dev'n,Right Sidestick pitch,Right Sidestick roll,Reposition,WOW_L,WOW_R,WOW_N
0.0,0.0,0.6108196729963478,1.2651993063363174,4.388070453297009,64.83874112909488,2921.581920276991,-0.037783271633088596,-0.0875308754091913,0.0,0.3532585095275525,0.0,0.0,0.0,0.0
0.0,0.0,0.4658459275960924,1.2656752877765223,4.388800292544894,64.8772206624349,2907.1595920138907,-0.038321242233117406,-0.08845619575844872,0.0,1.9289942264556865,0.0,0.0,0.0,0.0
0.0,0.0,-0.1502652886841031,1.273473201857671,4.399170864952933,64.86764017740887,2892.8771647135445,-0.03885967897044286,-0.08939882599645192,0.0,0.49700404802958154,0.0,0.0,0.0,0.0
0.0,0.0,-0.4438130110502243,1.272242685159051,4.396698355674741,64.78770446777345,2878.626993815109,-0.039400340678791196,-0.09032788127660753,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.40809821564218274,1.2682409027348378,4.393611742102581,64.70656353494397,2864.1351955247987,-0.039950031787157066,-0.0912413001060486,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.3127472447024454,1.267790359920924,4.395550441741942,64.64728393554687,2849.779253472223,-0.04051208620270092,-0.09213919010427263,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.20416937106185493,1.2691289822260525,4.39916362762451,64.6041959974501,2835.365896267363,-0.04109236987100709,-0.09302916294998592,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.09323342285222472,1.270376128620573,4.402373059590657,64.57566680908207,2821.0883246527806,-0.04166866317391394,-0.09388306323024961,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.021113795248117833,1.2712176023645574,4.405129767478778,64.55970179780999,2806.562203914565,-0.042280526078761885,-0.0947638788121812,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.13204489681455842,1.2717718124389659,4.407575628492566,64.55695953369141,2792.4321126302093,-0.04288798479570287,-0.095620240105523,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2426881992154652,1.2722046401765639,4.409921603732641,64.5663560655382,2778.254546440976,-0.04350883977280724,-0.09648469554053413,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.3539690876260716,1.2726739594276915,4.412403867599812,64.58908503106301,2763.808910613368,-0.04410876619054918,-0.09731464658645873,-0.18241991134400087,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.4651646119627087,1.3894639882174413,4.533111214637757,64.62725153836335,2749.1137584339526,-0.04471473793753168,-0.09821101565929978,-4.703840667551212,0.07593909278512014,0.0,0.0,0.0,0.0
0.0,0.0,0.5725378342296765,2.0538625509842583,5.05806526930436,64.68513123885444,2734.907619310467,-0.04494163142922131,-0.09911680885631105,-4.631768433944035,0.2073519372421762,0.0,0.0,0.0,0.0
0.0,0.0,0.6793716904662903,2.6919190259206878,5.320891414369855,64.75427209763299,2722.2328404017867,-0.04451677070132324,-0.10006610446033004,-0.9928869343407104,0.024945023336580815,0.0,0.0,0.0,0.0
0.0,0.0,0.7880903569360576,2.7532997926076272,5.039299875497819,64.82959588368733,2711.1034291585324,-0.04340722318738702,-0.10107765998691298,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.8948624771694804,2.6333710980969776,4.773345847462499,64.91654098865597,2701.0096747819775,-0.041717109898495114,-0.10214440888443667,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0013444423675546,2.623685958650378,4.726758978101945,65.02032419840492,2691.1346788194446,-0.03965449341469341,-0.10328910549481722,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.103763004144033,2.6689320653677,4.763545344273248,65.13519016901651,2681.650355021163,-0.03753971285186707,-0.10445821161071454,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.2015019920137189,2.7062609884474043,4.804361957973904,65.26258680555557,2672.159337022572,-0.035399853272570496,-0.10569293581777137,0.0,0.680605220794676,0.0,0.0,0.0,0.0
